id,latin,family,common,category,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit
66,Dieffenbachia,Araceae,Dumcane; Star Bright,Dieffenbachia,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Potted plant; Secondary,28,82.4,12,53.6
67,Dracaena marginata,Liliaceae,Madagascar dragon tree; Tricolor,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale; Spider mite,N/A,Potted plant; Secondary,28,82.4,10,50.0
68,Dracaena fragrans Massangeana,Liliaceae,Cornstalk plant,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Primary,30,20.0,10,50.0
69,Dracaena deremensis,Liliaceae,Janet Craig,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
70,Cryptanthus Rose Eliane,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Direct sunlight,Can be dry between watering. Water when soil is half dry.,N/A,N/A,Table top; Primary,28,82.4,10,50.0
71,Dracaena reflexa,Liliaceae,Yellow Malaysian Dracaena; Song of India,Dracaena, India,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Potted plant; Primary,30,20.0,12,53.6
72,Dieffenbachia maculata,Araceae,Dumcane; Carina,Dieffenbachia,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Table top; Potted plant,28,82.4,12,53.6
73,Dracaena reflexa,Liliaceae,Malaysian Dracaena; Song of Jamaica,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Potted plant; Secondary,30,20.0,12,53.6
74,Cycas revoluta,Cycadaceae,Sago palm; King sago,Palm,Japan,Subtropical,"Prefers bright, indirect sunlight.",/,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,N/A,Potted plant; Primary,30,20.0,8,46.4
75,Crassula argentea,Crasssulaceae,Jade Plant,Cactus And Succulent,South Africa,Subtropical arid,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,N/A,Potted plant; Primary,35,95.0,12,55.0
76,Ctenanthe lubbersiana,Marantaceae,Phrynium,Foliage plant,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,N/A,Potted plant; Secondary,25,77.0,12,53.6
77,Dracaena reflexa,Liliaceae,Malaysian Dracaena,Dracaena,Madagascar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Table top; Tertiary,30,20.0,12,53.6
78,Dracaena deremensis,Liliaceae,Striped Dracaena; Gold Star,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
79,Cyrtomium falcatum,Dryopteridaceae,Holly-fern,Fern,Asia,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Scale; Mealy bug,N/A,Potted plant; Ground cover,30,20.0,5,41.0
80,Dracaena deremensis,Liliaceae,Dwarf bouquet; Calypso Queen; Janet Craig Compacta,Dracaena,Africa,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
81,Davallia trichomannoides,Davalliaceae,Rabbits foot; Squirrels foot,Fern,Canaries,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Scale,N/A,Hanging; Potted plant,25,77.0,10,50.0
82,Dracaena deremensis,Liliaceae,Lisa Dracaena; Lisa,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Primary,30,20.0,10,50.0
83,Dracaena marginata,Liliaceae,Madagascar dragon tree,Dracaena,Madagascar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale; Spider mite,N/A,Potted plant; Secondary,30,20.0,10,50.0
84,Dracaena deremensis,Liliaceae,Striped Dracaena; Warneckei,Dracaena,Africa,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
85,Dracaena deremensis,Liliaceae,Striped Dracaena; Lemon Lime,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Table top; Tertiary,30,20.0,10,50.0
86,Dieffenbachia maculata,Araceae,Dumcane; Camille,Dieffenbachia,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Table top; Potted plant,28,82.4,12,53.6
87,Dieffenbachia amoena,Araceae,Dumcane; Tropic Snow,Dieffenbachia,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Potted plant; Secondary,28,82.4,12,53.6
88,Ficus elastica,Moraceae,Rubber plant; Tineke,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Table top; Tertiary,30,20.0,10,50.0
89,Dypsis lutescens,Arecaceae,Areca palm; Butterfly palm,Palm,Madagascar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary,28,82.4,10,50.0
90,Epiphyllum,Cactaceae,Orchid cactus,Cactus And Succulent,Hybrid,Tropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Hanging; Secondary,32,89.6,5,41.0
91,Echinocactus grusonii,Cactaceae,Golden Barrel,Cactus And Succulent,Central Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,/,Water only when dry. Must be dry between watering,Mealy bug; Scale; Spider mite,N/A,Potted plant; Primary,40,104.0,5,41.0
92,Euphorbia milii,Euphorbiaceae,Christ thorn; Crown of thorns,Cactus And Succulent,Madagascar,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug; White fly,Downy mildiou; Gray mold,Table top; Tertiary,35,95.0,12,53.6
93,Epipremnum aureum,Araceae,White Pothos; Marble Queen,Hanging,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Pythium,Hanging; Tertiary,30,20.0,12,53.6
94,Guzmania,Bromeliaceae,Guzmania; Guzmania Sunnytime,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary,30,20.0,10,50.0
95,Ficus maclellandii,Moraceae,Willow fig tree; Amstel King,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Primary,30,20.0,10,50.0
96,Guzmania,Bromeliaceae,Guzmania; Guzmania Empire,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary,30,20.0,10,50.0
97,Ficus benjamina,Moraceae,Weeping fig,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
98,Fatsia japonica,Araliaceae,Japanese Aralia,Aralia,Japan,Subtropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Potted plant,28,82.4,8,46.4
99,Euphorbia ammack,Euphorbiaceae,Variegated Euphorbia,Cactus And Succulent,Africa,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Must be dry between watering. Water only when dry.,Mealy bug; White fly,Downy mildiou,Potted plant; Primary,35,95.0,12,53.6
100,Ficus pumila,Moraceae,Creeping fig; Curl,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Hanging; Ground cover,30,20.0,10,50.0
101,Guzmania,Bromeliaceae,Guzmania; Claret,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary,30,20.0,10,50.0
102,Ficus elastica,Moraceae,Rubber plant; Robusta,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
103,Hedera canariensis,Araliaceae,Algerian ivy; Montgomery ivy,Hanging,Canaries,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Hanging; Ground cover,30,20.0,5,41.0
104,Epipremnum aureum,Araceae,Golden Pothos,Hanging,South Pacific,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Pythium,Hanging; Tertiary,30,20.0,12,53.6
105,Ficus lyrata,Moraceae,Fidleleaf fig,Ficus,Ouest Africa,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
106,Euphorbia ingens,Euphorbiaceae,Giant Candelabra tree,Cactus And Succulent,South Africa,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Downy mildiou,Potted plant; Primary,35,95.0,12,53.6
107,Ficus benjamina,Moraceae,Weeping fig; Monique,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
108,Guzmania,Bromeliaceae,Guzmania; Mariposa,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary,30,20.0,10,50.0
