id,latin,family,common,category,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit
0,Aeschynanthus lobianus,Gesneriaceae,Lipstick,Hanging,Java,Tropical,Bright light,Direct sunlight,Keep moist between watering. Can be a bit dry between watering,Mealy bug; Aphid; Thrips,N/A,Hanging; Flower; Tertiary,32,89.6,14,57.2
1,Adiantum raddianum,Polypodiaceae,Maindenhair; Delta maidenhair,Fern,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Aphid; Snail,Gray mold,Potted plant; Ground cover; Table top,30,86.0,12,53.6
2,Aechmea fatsiata,Bromeliaceae,Silver vase,Bromeliad,Brazil,Tropical humid,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Flower; Table top; Tertiary,30,20.0,12,53.6
3,Agave angustilolia Marginata,Amaryllidaceae,Variegated Carabbean Agave; Century plant,Cactus And Succulent, India,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,N/A,Potted plant; Primary; Secondary,35,95.0,5,41.0
4,Aechmea ramosa,Bromeliaceae,Coral berry,Bromeliad,Brazil,Subtropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Flower; Table top; Primary,30,20.0,12,53.6
5,Aechmea fasciata,Bromeliaceae,Silver vase,Bromeliad,Hybrid,Tropical humid,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Flower; Table top; Tertiary,30,20.0,12,53.6
6,Agave filifera,Amaryllidaceae,Thread Agave; Century plant,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,N/A,Potted plant; Primary; Secondary,35,95.0,5,41.0
7,Adiantum hispidulum,Polypodiaceae,Rosy Maidenhair; Autralian maidenhair,Fern,Australia & New Guinea,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Aphid; Snail,Gray mold,Table top; Ground cover; Tertiary,30,20.0,12,53.6
8,Agave attenuata,Amaryllidaceae,Dragon tree Agave; Century plant,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,N/A,Potted plant; Primary; Secondary,35,95.0,5,41.0
9,Aglaonema,Araceae,Chinese Evergreen; Amelia,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
10,Aglaonema,Araceae,Chinese Evergreen; Painted Princess,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
11,Aglaonema,Araceae,Chinese Evergreen; Queen of Siam,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
12,Aglaonema,Araceae,Chinese Evergreen; Jewel of India,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Table top; Ground cover; Tertiary,28,82.4,18,64.4
13,Aglaonema,Araceae,Chinese Evergreen; Patricia,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
14,Aglaonema,Araceae,Chinese Evergreen; Green Lady,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
15,Aglaonema,Araceae,Chinese Evergreen; Black Lance,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
16,Aglaonema,Araceae,Chinese Evergreen; Silver Queen,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
17,Aglaonema,Araceae,Chinese Evergreen; Rapsody in Green,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Primary; Secondary,28,82.4,18,64.4
18,Aglaonema,Araceae,Chinese Evergreen; Manila Pride,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
19,Agave verschaffeltii,Amaryllidaceae,Blue Agave; Century plant,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,N/A,Potted plant; Primary; Secondary,35,95.0,12,53.6
20,Aglaonema,Araceae,Chinese Evergreen; Emerald Beauty,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Table top; Ground cover; Tertiary,28,82.4,18,64.4
21,Aglaonema,Araceae,Chinese Evergreen; Jubilee,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
22,Agave striata,Amaryllidaceae,Lilliput Agave; Century plant; Nana,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,N/A,Potted plant; Primary; Secondary,35,95.0,12,53.6
23,Aglaonema,Araceae,Chinese Evergreen; Abidjan,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
24,Aglaonema,Araceae,Chinese Evergreen; Maria Chirstina,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Ground cover; Tertiary,28,82.4,18,64.4
25,Alocasia nebula Imperialis,Araceae,Elephant ear,Other,Cultivar,Tropical humid,Bright light,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Table top; Tertiary,28,82.4,15,59.0
26,Aglaonema,Araceae,Chinese Evergreen; Emerald Isle,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
27,Aglaonema,Araceae,Chinese Evergreen; Mary Ann,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
28,Allamanda nerifolia,Apocynaceae,Golden Trumpet,Flower,Brazil,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale; Spider mite,N/A,Flower,30,20.0,10,50.0
29,Aglaonema,Araceae,Chinese Evergreen; BJ Freeman,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Primary; Secondary,28,82.4,18,64.4
30,Aglaonema,Araceae,Chinese Evergreen; Marguerita,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Primary; Secondary,28,82.4,18,64.4
31,Aglaonema,Araceae,Chinese Evergreen; Emerald Star,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Secondary,28,82.4,18,64.4
32,Aglaonema,Araceae,Chinese Evergreen; Silver Bay,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4
33,Aspidistra elatior,Liliaceae,Cast iron plant,Foliage plant,China,Subtropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Scale,N/A,Ground cover; Potted plant,28,82.4,8,46.4
34,Anthurium superbum,Araceae,Bronze Anthurium,Anthurium,Ecuador,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug,N/A,Table top; Colors / Forms; Secondary,28,82.4,18,64.4
35,Caryota mitis,Palmae,Fish tail palm,Palm, India,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,N/A,Potted plant; Primary,25,77.0,10,50.0
36,Codiaeum petra,Euphorbiaceae,Croton,Foliage plant,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Potted plant; Secondary,28,82.4,10,50.0
37,Cereus peruvianus,Cactaceae,Tree Cereus,Cactus And Succulent,Brazil,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Scale; Mealy bug,N/A,Potted plant; Primary,35,95.0,5,41.0
38,Blechnum gibbum,Polypodiaceae,Miniature tree fern; Dwarf tree fern,Fern,New Calidonia,Tropical humid,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary,30,20.0,10,50.0
39,Chamaedorea elegans,Arecaceae,Bella palm; Neanthebella palm; Dwarf palm; Parlor palm,Palm,Mexico,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Potted plant; Tertiary,28,82.4,5,41.0
40,Calathea veitchiana,Marantaceae,Medallion Calathea,Foliage plant,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Ground cover,25,77.0,10,50.0
41,Calathea pictura Argentea,Marantaceae,Silver Calathea,Foliage plant,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Ground cover; Tertiary,25,77.0,10,50.0
42,Bougainvillea,Nyctaginaceae,Bougainvillia; Paper flower,Flower,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Aphid; Mealy bug,N/A,Potted plant; Colors / Forms; Primary,32,89.6,10,50.0
43, Chamaedorea seifrizii,Arecaceae,Bamboo palm; Reed Palm,Palm,Mexico,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Potted plant; Secondary,30,20.0,10,50.0
44, Alocasia X amazonica,Araceae,Elephant ear,Other,Hybrid,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Table top; Tertiary,28,82.4,15,59.0
45,Anthurium X,Araceae,Tailflower; Wax flower,Anthurium,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Aphid,Erwinia; Crown rot,Flower; Table top; Tertiary,22,71.6,18,64.4
46,Anthurium hookeri,Araceae,Bird nest Anthurium; Cabbage Anthurium,Anthurium,Guyana,Tropical humid,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Snail; Aphid,Erwinia; Crown rot,Potted plant; Secondary,28,82.4,18,64.4
47,Cissus rhombifolia,Vitaceae,Grape Ivy; Ellen Danica,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug,Downy mildiou; Powdery,Hanging; Ground cover,28,82.4,10,50.0
48,Cereus peruvianus Monstrosus,Cactaceae,Monster cactus,Cactus And Succulent,Brazil,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Scale; Mealy bug,N/A,Potted plant; Primary,35,95.0,5,41.0
49,Chamaedorea erumpens,Arecaceae,Bamboo palm,Palm,Honduras,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Potted plant; Secondary,28,82.4,10,50.0
50,Calathea stromata,Marantaceae,Stromante,Foliage plant,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Ground cover,25,77.0,10,50.0
51,Codiaeum,Euphorbiaceae,Croton,Foliage plant,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Secondary; Tertiary,28,82.4,10,50.0
52,Calathea rufibarba,Marantaceae,Velvet Calathea,Foliage plant,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Ground cover,25,77.0,10,50.0
53,Alocasias X Amazonica var,Araceae,Elephant ear,Other,Hybrid,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Table top; Tertiary,28,82.4,15,59.0
54,Crassula argentea,Crasssulaceae,Jade Plant,Cactus And Succulent,South Africa,Subtropical arid,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,N/A,Potted plant; Primary,35,95.0,12,55.0
55,Alocasias X Amazonica,Araceae,Elephant ear,Other,Hybrid,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Potted plant; Primary,28,82.4,15,59.0
56,Cissus rhombifolia,Vitaceae,Grape Ivy,Hanging,Central America & South America,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug,Downy mildiou; Powdery,Hanging; Ground cover,28,82.4,10,50.0
57,Anthurium schlechtendalii,Araceae,Bird nest Anthurium; Cabbage Anthurium,Anthurium,Costa rica,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Aphid,N/A,Potted plant; Colors / Forms; Primary,28,82.4,18,64.4
58,Chamaedorea metallica,Arecaceae,Miniature fishtail; Steel palm,Palm,Mexico,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Potted plant; Secondary,30,20.0,10,50.0
59,Aspidistra elatior Minor,Liliaceae,Cast iron plant; Aspidistra Milky Way,Foliage plant,Japan,Subtropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Scale,N/A,Ground cover; Potted plant,28,82.4,8,46.4
60,Calathea ornata Rosea lineata,Marantaceae,Stiped calathea,Foliage plant,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Ground cover; Tertiary,25,77.0,10,50.0
61,Asplenium nidus,Aspleniaceae,Birdnest fern,Fern,Asia,Tropical humid,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,N/A,Potted plant; Primary,28,82.4,15,59.0
62,Anthurium hookeri,Araceae,Bird nest Anthurium; Cabbage Anthurium,Anthurium,Guyana,Tropical humid,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Snail; Aphid,Erwinia; Crown rot,Potted plant; Primary,28,82.4,18,64.4
63,Chlorophytum comosum,Liliaceae,Spider plant,Hanging,Central Africa,Tropical to subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,N/A,N/A,Hanging; Ground cover,28,82.4,5,41.0
64,Didymochlaena truncatula,Dryopteridaceae,Tree Maindenhair fern,Fern,South America,Tropical humid,6 or more hours of direct sunlight per day.,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,N/A,Potted plant; Tertiary,30,20.0,5,41.0
65,Dieffenbachia,Araceae,Dumcane; Tropic Mary Ann,Dieffenbachia,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Table top; Potted plant,28,82.4,12,53.6
