latin
Aeschynanthus lobianus
Adiantum raddianum
Aechmea fatsiata
Agave angustilolia Marginata
Aechmea ramosa
Aechmea fasciata
Agave filifera
Adiantum hispidulum
Agave attenuata
Aglaonema
Aglaonema
Aglaonema
Aglaonema
Aglaonema
Aglaonema
Aglaonema
Aglaonema
Aglaonema
Aglaonema
Agave verschaffeltii
Aglaonema
Aglaonema
Agave striata
Aglaonema
Aglaonema
Alocasia nebula Imperialis
Aglaonema
Aglaonema
Allamanda nerifolia
Aglaonema
Aglaonema
Aglaonema
Aglaonema
Aspidistra elatior
Anthurium superbum
Caryota mitis
Codiaeum petra
Cereus peruvianus
Blechnum gibbum
Chamaedorea elegans
Calathea veitchiana
Calathea pictura Argentea
Bougainvillea
 Chamaedorea seifrizii
 Alocasia X amazonica
Anthurium X
Anthurium hookeri
Cissus rhombifolia
Cereus peruvianus Monstrosus
Chamaedorea erumpens
Calathea stromata
Codiaeum
Calathea rufibarba
Alocasias X Amazonica var
Crassula argentea
Alocasias X Amazonica
Cissus rhombifolia
Anthurium schlechtendalii
Chamaedorea metallica
Aspidistra elatior Minor
Calathea ornata Rosea lineata
Asplenium nidus
Anthurium hookeri
Chlorophytum comosum
Didymochlaena truncatula
Dieffenbachia
Dieffenbachia
Dracaena marginata
Dracaena fragrans Massangeana
Dracaena deremensis
Cryptanthus Rose Eliane
Dracaena reflexa
Dieffenbachia maculata
Dracaena reflexa
Cycas revoluta
Crassula argentea
Ctenanthe lubbersiana
Dracaena reflexa
Dracaena deremensis
Cyrtomium falcatum
Dracaena deremensis
Davallia trichomannoides
Dracaena deremensis
Dracaena marginata
Dracaena deremensis
Dracaena deremensis
Dieffenbachia maculata
Dieffenbachia amoena
Ficus elastica
Dypsis lutescens
Epiphyllum
Echinocactus grusonii
Euphorbia milii
Epipremnum aureum
Guzmania
Ficus maclellandii
Guzmania
Ficus benjamina
Fatsia japonica
Euphorbia ammack
Ficus pumila
Guzmania
Ficus elastica
Hedera canariensis
Epipremnum aureum
Ficus lyrata
Euphorbia ingens
Ficus benjamina
Guzmania
Ficus maclellandii Alii
Guzmania
Ficus benjamina
Guzmania
Ficus elastica
Euphorbia drupifera
Hedera helix
Maranta leuconeura erythroneura
Hedera helix
Monstera deliciosa
Mandevilla X
Peperomia obtusifolia
Ophiopogon japonicus
Hedychium coronarium
Hedera helix variegata
Pellaea falcata
Hedera helix
Hoya carnosa Exotica
Nerium oleander
Pachypodium geayi
Licuala spinosa
Philodendron
Neoregelia Flandria
Liriope muscari Variegata
Philodendron micans
Maranta leuconeura kerchoveana
Neoregelia Victoria Pink
Nolina recurvata
Philodendron
Phalaenopsis X
Hyophorbe verschaffeltii
Hedera helix
Nolina guatemalensis
Medinilla magnifica
Hibiscus rosa sinensis
Nephrolepis exaltata var
Howea forsteriana
Philodendron
Homalomena
Peperomia clusiifolia
Pandorea jasminoides
Neoregelia carolinae var.
Radermachera sinica
Pteris cretica Parkeri
Polystichum tsus simense
Polystichum polyblepharum
Ravenea rivularis
Polyscias scutellaria
Pteris cretica Albo lineata
Platycerium bifurcatum
Philodendron Xanadu
Polyscias pinnatta
Philodendron Tatei Congo
Sansevieria trifasciata Laurentii
Philodendron pinnatifidum
Podocarpus gracilior
Sansevieria trifasciata Hahnii
Sansevieria trifasciata
Polyscias crispata
Phoenix roebellinii
Polyscias pinnata Marginata
Polyscias fruticosa Elegans
Philodendron selloum
Pteris ensiformis Evergemiensis
Rhapis excelsa
Polyscias fruticosa
Philodendron scandens oxycardium
Veitchia merrillii
Spathiphyllum Lynise
Spathiphyllum Ceres
Vriesea splendens
Trichilia dregei
Vriesea Ginger
Vriesea Charlotte
Syngonium podophyllum
Syagrus schizophylla
Tillandsia cyanea
Vriesea Christiane
Tillandsia Creation
Xanthosoma lindenii
Schefflera elegantissima
Spathiphyllum Sensation
Spathiphyllum Starlight
Sedum morganianum
Spathiphyllum Domino
Syngonium podophyllum
Scindapsus pictus argyraeus
Xanthorrhoea arborea
Schefflera arboricola Trinette
Schefflera actinophylla Amate
Schefflera actinophylla Renegade
Sansevieria trifasciata var
Spathiphyllum Supreme
Schefflera arboricola
Spathiphyllum
Spathiphyllum Starlight
Schefflera arboricola
Strelitzia nicolai
Zamioculcas zamifolia
Yucca elephantipes
