latin,category,ideallight,toleratedlight,watering,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans,tempmin_pasmo,tempmax_pasmo,is_cold_tolerant,is_heat_tolerant,category_group,light_level_clean,watering_group,toxicity_any
Liriope muscari Variegata,Foliage plant,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,30,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Philodendron micans,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Maranta leuconeura kerchoveana,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło,Umiarkowanie,0
Neoregelia Victoria Pink,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
Nolina recurvata,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,32,12,toksyczna (łagodne zatrucia u kotów przy spożyciu),nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło,Umiarkowanie,1
Phalaenopsis X,Flower,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
Hyophorbe verschaffeltii,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,35,10,nietoksyczna,nietoksyczna,Toleruje chłód,Odporna na upał,0,1,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,0
Nolina guatemalensis,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,32,12,toksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło,Umiarkowanie,1
Medinilla magnifica,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło,Często,0
Hibiscus rosa sinensis,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło,Często,0
Nephrolepis exaltata var,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Howea forsteriana,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło,Często,0
Homalomena,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,10,toksyczna,toksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Peperomia clusiifolia,Other,Bright light,/,Keep moist between watering. Water when soil is half dry.,32,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło,Umiarkowanie,0
Pandorea jasminoides,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,28,8,lekko toksyczna,może powodować nudności po spożyciu,Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło,Umiarkowanie,1
Neoregelia carolinae var.,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
Radermachera sinica,Other,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Inne,Bezpośrednie światło,Umiarkowanie,0
Pteris cretica Parkeri,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Często,0
Polystichum tsus simense,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,28,-5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Rozproszone światło,Często,0
Polystichum polyblepharum,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,28,-5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Rozproszone światło,Często,0
Ravenea rivularis,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,30,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Często,0
Polyscias scutellaria,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Pteris cretica Albo lineata,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Często,0
Platycerium bifurcatum,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,30,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,0
Philodendron Xanadu,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Polyscias pinnatta,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Philodendron Tatei Congo,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Sansevieria trifasciata Laurentii,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,35,10,"toksyczna (nudności, wymioty)","lekko toksyczna (gorzkawy smak, biegunka)",Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Philodendron pinnatifidum,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Podocarpus gracilior,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,30,10,"toksyczna (senność, wymioty)","toksyczna (bóle brzucha, wymioty)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło,Często,1
Sansevieria trifasciata Hahnii,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,35,10,toksyczna,lekko toksyczna,Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Sansevieria trifasciata,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,35,10,toksyczna,lekko toksyczna,Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Polyscias crispata,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Phoenix roebellinii,Palm,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Często,0
Polyscias pinnata Marginata,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Polyscias fruticosa Elegans,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Philodendron selloum,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Pteris ensiformis Evergemiensis,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Często,0
Rhapis excelsa,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,30,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło,Często,0
Polyscias fruticosa,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Philodendron scandens oxycardium,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Veitchia merrillii,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Często,0
Spathiphyllum Lynise,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,28,15,toksyczna (szczawiany wapnia),toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Często,1
Spathiphyllum Ceres,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Często,1
Vriesea splendens,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
Trichilia dregei,Other,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło,Często,1
Vriesea Ginger,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
Vriesea Charlotte,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
Syngonium podophyllum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,12,"toksyczna (szczawiany wapnia – ślinotok, wymioty)","toksyczna (pieczenie ust, gardła)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło,Umiarkowanie,1
Syagrus schizophylla,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,0
Tillandsia cyanea,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
Vriesea Christiane,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
Tillandsia Creation,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Umiarkowanie,0
Xanthosoma lindenii,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Schefflera elegantissima,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,28,12,"toksyczna (szczawiany, gorzki sok)",toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Spathiphyllum Sensation,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Często,1
Spathiphyllum Starlight,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Często,1
Sedum morganianum,Hanging,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,35,8,nietoksyczna,nietoksyczna,Toleruje chłód,Odporna na upał,0,1,Wisząca,Bezpośrednie światło,Rzadko,0
Spathiphyllum Domino,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Często,1
Scindapsus pictus argyraeus,Hanging,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło,Umiarkowanie,1
Xanthorrhoea arborea,Other,6 or more hours of direct sunlight per day.,/,Water only when the soil is dry. Must be dry between watering,35,12,nietoksyczna (dane ograniczone),nietoksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Inne,Bezpośrednie światło,Rzadko,0
Schefflera arboricola Trinette,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Schefflera actinophylla Amate,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Schefflera actinophylla Renegade,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Sansevieria trifasciata var,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,35,10,toksyczna,lekko toksyczna,Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Spathiphyllum Supreme,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Często,1
Schefflera arboricola,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło,Umiarkowanie,1
Spathiphyllum,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło,Często,1
Strelitzia nicolai,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,toksyczna (łagodne zatrucia),lekko toksyczna (niestrawność),Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło,Umiarkowanie,1
Zamioculcas zamifolia,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,30,12,"toksyczna (kontakt i spożycie – wymioty, biegunka)","toksyczna (szczawiany wapnia – podrażnienia skóry, jamy ustnej)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło,Umiarkowanie,1
Yucca elephantipes,Dracaena,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,30,12,"toksyczna (saponiny – wymioty, biegunka)","lekko toksyczna (bóle brzucha, nudności)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło,Umiarkowanie,1
