latin,category,ideallight,toleratedlight,watering,use,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans
Cyrtomium falcatum,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Ground cover,30,5,nietoksyczna,nietoksyczna
Davallia trichomannoides,Fern,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Potted plant,25,10,nietoksyczna,nietoksyczna
Dieffenbachia amoena,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,28,12,bardzo toksyczna,bardzo toksyczna
Ficus elastica,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Table top; Tertiary,30,10,"toksyczna (podrażnienia żołądkowe, wymioty)","może powodować podrażnienia skóry, żołądka"
Dypsis lutescens,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,10,nietoksyczna,nietoksyczna
Epiphyllum,Cactus And Succulent,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Hanging; Secondary,32,5,nietoksyczna,nietoksyczna
Echinocactus grusonii,Cactus And Succulent,6 or more hours of direct sunlight per day.,/,Water only when dry. Must be dry between watering,Potted plant; Primary,40,5,nietoksyczna (ale kolce stanowią zagrożenie mechaniczne),nietoksyczna (oparzenia mechaniczne)
Euphorbia milii,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Table top; Tertiary,35,12,"toksyczna (sok mleczny – wymioty, biegunka, podrażnienia)",toksyczna (podrażnienia skóry i oczu)
Epipremnum aureum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,30,12,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie jamy ustnej, podrażnienia gardła)"
Guzmania,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Table top; Tertiary,30,10,nietoksyczna,nietoksyczna
Ficus maclellandii,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,30,10,toksyczna,może powodować podrażnienia
Ficus benjamina,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,10,"toksyczna (wymioty, biegunka, podrażnienia skóry u zwierząt)","toksyczna (podrażnienia skóry, reakcje alergiczne)"
Fatsia japonica,Aralia,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Table top; Potted plant,28,8,nietoksyczna,nietoksyczna
Euphorbia ammack,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Must be dry between watering. Water only when dry.,Potted plant; Primary,35,12,"toksyczna (sok mleczny drażniący, wymioty)",toksyczna (silne podrażnienia skóry i oczu)
Ficus pumila,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Hanging; Ground cover,30,10,toksyczna,może powodować podrażnienia skóry
Hedera canariensis,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,30,5,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, nudności)"
Ficus lyrata,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,10,"toksyczna (wymioty, ślinotok)","toksyczna (podrażnienia skóry, błon śluzowych)"
Euphorbia ingens,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,"toksyczna (silne zatrucia, sok mleczny)","toksyczna (uszkodzenia skóry, oczu)"
Ficus maclellandii Alii,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,30,10,toksyczna,może powodować podrażnienia
Euphorbia drupifera,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,toksyczna,toksyczna
Hedera helix,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,30,5,"toksyczna (ślinotok, biegunka, apatia)","toksyczna (nudności, bóle brzucha, kontaktowe podrażnienia)"
Maranta leuconeura erythroneura,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Table top,28,12,nietoksyczna,nietoksyczna
Monstera deliciosa,Philodendron,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,32,12,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie ust, gardła)"
Mandevilla X,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Potted plant,30,10,"toksyczna (biegunka, wymioty)","toksyczna (podrażnienia skóry, zatrucia po spożyciu)"
Peperomia obtusifolia,Other,Bright light,/,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,32,10,nietoksyczna,nietoksyczna
Ophiopogon japonicus,Grass,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Ground cover; Tertiary,28,5,nietoksyczna,nietoksyczna
Hedychium coronarium,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Secondary,30,10,nietoksyczna,nietoksyczna
Hedera helix variegata,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,30,5,toksyczna,toksyczna
Pellaea falcata,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Ground cover; Tertiary,25,12,nietoksyczna,nietoksyczna
Hoya carnosa Exotica,Hanging,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Table top,28,12,nietoksyczna,nietoksyczna
Nerium oleander,Flower,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,5,silnie toksyczna (może być śmiertelna – glikozydy nasercowe),"silnie toksyczna (zaburzenia rytmu serca, zatrucia, śmiertelna dawka)"
Pachypodium geayi,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,8,"toksyczna (podrażnienia, możliwe zatrucia)","toksyczna (drażniąca, sok mleczny)"
Licuala spinosa,Palm,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,15,nietoksyczna,nietoksyczna
Philodendron,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,28,18,toksyczna (szczawiany wapnia),toksyczna
Neoregelia Flandria,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,30,12,nietoksyczna,nietoksyczna
Liriope muscari Variegata,Foliage plant,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Ground cover; Table top,30,8,nietoksyczna,nietoksyczna
Philodendron micans,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Secondary,28,18,toksyczna,toksyczna
Maranta leuconeura kerchoveana,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Table top,28,12,nietoksyczna,nietoksyczna
Neoregelia Victoria Pink,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,30,12,nietoksyczna,nietoksyczna
Nolina recurvata,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Primary; Potted plant,32,12,toksyczna (łagodne zatrucia u kotów przy spożyciu),nietoksyczna
Phalaenopsis X,Flower,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Secondary,28,12,nietoksyczna,nietoksyczna
Hyophorbe verschaffeltii,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,35,10,nietoksyczna,nietoksyczna
Nolina guatemalensis,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Primary; Potted plant,32,12,toksyczna,nietoksyczna
Medinilla magnifica,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Flower,30,15,nietoksyczna,nietoksyczna
Hibiscus rosa sinensis,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Secondary,28,10,nietoksyczna,nietoksyczna
Nephrolepis exaltata var,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,28,10,nietoksyczna,nietoksyczna
Howea forsteriana,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,12,nietoksyczna,nietoksyczna
Homalomena,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,28,10,toksyczna,toksyczna
Peperomia clusiifolia,Other,Bright light,/,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,32,10,nietoksyczna,nietoksyczna
Pandorea jasminoides,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,8,lekko toksyczna,może powodować nudności po spożyciu
Neoregelia carolinae var.,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,30,12,nietoksyczna,nietoksyczna
Radermachera sinica,Other,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,28,8,nietoksyczna,nietoksyczna
Pteris cretica Parkeri,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna
Polystichum tsus simense,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,-5,nietoksyczna,nietoksyczna
Polystichum polyblepharum,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,-5,nietoksyczna,nietoksyczna
Ravenea rivularis,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,8,nietoksyczna,nietoksyczna
Polyscias scutellaria,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna
Pteris cretica Albo lineata,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna
Platycerium bifurcatum,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Tertiary,30,5,nietoksyczna,nietoksyczna
Philodendron Xanadu,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,18,toksyczna,toksyczna
Polyscias pinnatta,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna
Philodendron Tatei Congo,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,28,18,toksyczna,toksyczna
Sansevieria trifasciata Laurentii,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Tertiary,35,10,"toksyczna (nudności, wymioty)","lekko toksyczna (gorzkawy smak, biegunka)"
Philodendron pinnatifidum,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,28,18,toksyczna,toksyczna
Podocarpus gracilior,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,30,10,"toksyczna (senność, wymioty)","toksyczna (bóle brzucha, wymioty)"
Sansevieria trifasciata Hahnii,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Tertiary,35,10,toksyczna,lekko toksyczna
Sansevieria trifasciata,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Primary,35,10,toksyczna,lekko toksyczna
Polyscias crispata,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna
Phoenix roebellinii,Palm,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,8,nietoksyczna,nietoksyczna
Polyscias pinnata Marginata,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna
Polyscias fruticosa Elegans,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna
Philodendron selloum,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,18,toksyczna,toksyczna
Pteris ensiformis Evergemiensis,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna
Rhapis excelsa,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,8,nietoksyczna,nietoksyczna
Polyscias fruticosa,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna
Philodendron scandens oxycardium,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,18,toksyczna,toksyczna
Veitchia merrillii,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,15,nietoksyczna,nietoksyczna
Spathiphyllum Lynise,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,15,toksyczna (szczawiany wapnia),toksyczna
Spathiphyllum Ceres,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna
Vriesea splendens,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna
Trichilia dregei,Other,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,12,toksyczna,toksyczna
Vriesea Ginger,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna
Vriesea Charlotte,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna
Syngonium podophyllum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,28,12,"toksyczna (szczawiany wapnia – ślinotok, wymioty)","toksyczna (pieczenie ust, gardła)"
Syagrus schizophylla,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,nietoksyczna,nietoksyczna
Tillandsia cyanea,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,30,15,nietoksyczna,nietoksyczna
Vriesea Christiane,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna
Tillandsia Creation,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,30,15,nietoksyczna,nietoksyczna
Xanthosoma lindenii,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,28,12,toksyczna,toksyczna
Schefflera elegantissima,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Potted plant; Secondary,28,12,"toksyczna (szczawiany, gorzki sok)",toksyczna
Spathiphyllum Sensation,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,15,toksyczna,toksyczna
Spathiphyllum Starlight,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna
Sedum morganianum,Hanging,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Hanging; Tertiary,35,8,nietoksyczna,nietoksyczna
Spathiphyllum Domino,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna
Scindapsus pictus argyraeus,Hanging,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Tertiary,30,12,toksyczna,toksyczna
Xanthorrhoea arborea,Other,6 or more hours of direct sunlight per day.,/,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,nietoksyczna (dane ograniczone),nietoksyczna
Schefflera arboricola Trinette,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,30,12,toksyczna,toksyczna
