latin,category,ideallight,toleratedlight,watering,use,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans
Aeschynanthus lobianus,Hanging,Bright light,Direct sunlight,Keep moist between watering. Can be a bit dry between watering,Hanging; Flower; Tertiary,32,14,nietoksyczna,nietoksyczna
Adiantum raddianum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Ground cover; Table top,30,12,nietoksyczna,nietoksyczna
Aechmea fatsiata,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Tertiary,30,12,nietoksyczna,może powodować lekkie podrażnienia
Agave angustilolia Marginata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,5,"toksyczna (podrażnienia, wymioty)","toksyczna (sok drażni skórę, oczy)"
Aechmea ramosa,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Primary,30,12,nietoksyczna,może powodować lekkie podrażnienia
Aechmea fasciata,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Tertiary,30,12,nietoksyczna,może powodować lekkie podrażnienia
Agave filifera,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,5,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, układu pokarmowego)"
Adiantum hispidulum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Ground cover; Tertiary,30,12,nietoksyczna,nietoksyczna
Agave attenuata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,5,toksyczna (problemy żołądkowe),"toksyczna (sok drażniący, oparzenia)"
Aglaonema,Aglaonema,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,28,18,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
Agave verschaffeltii,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,12,toksyczna,toksyczna
Agave striata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,12,toksyczna,toksyczna
Alocasia nebula Imperialis,Other,Bright light,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,28,15,"toksyczna (ciężkie objawy, szczawiany wapnia)","toksyczna (oparzenia jamy ustnej, gardła)"
Allamanda nerifolia,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Flower,30,10,"toksyczna (biegunka, wymioty)","toksyczna (drażniąca, przeczyszczająca)"
Aspidistra elatior,Foliage plant,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Ground cover; Potted plant,28,8,nietoksyczna,nietoksyczna
Anthurium superbum,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Colors / Forms; Secondary,28,18,"toksyczna (podrażnienia jamy ustnej, wymioty)","toksyczna (szczawiany wapnia – pieczenie ust, gardła)"
Caryota mitis,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,25,10,"toksyczna (podrażnienia, wymioty)","toksyczna (szczawiany, podrażnienia ust)"
Codiaeum petra,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,10,"toksyczna (kontakt ze skórą – wysypka, wymioty)","toksyczna (sok drażniący, biegunka, wymioty)"
Cereus peruvianus,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Potted plant; Primary,35,5,nietoksyczna,nietoksyczna (ostre kolce mechanicznie niebezpieczne)
Blechnum gibbum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,10,nietoksyczna,nietoksyczna
Chamaedorea elegans,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Tertiary,28,5,nietoksyczna,nietoksyczna
Calathea veitchiana,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,25,10,nietoksyczna,nietoksyczna
Calathea pictura Argentea,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,25,10,nietoksyczna,nietoksyczna
Bougainvillea,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Colors / Forms; Primary,32,10,nietoksyczna (kolce mogą ranić),nietoksyczna (kolce mogą ranić)
 Chamaedorea seifrizii,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,10,nietoksyczna,nietoksyczna
 Alocasia X amazonica,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,28,15,toksyczna (szczawiany wapnia),"toksyczna (pieczenie ust, gardła)"
Anthurium X,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Flower; Table top; Tertiary,22,18,toksyczna,toksyczna
Anthurium hookeri,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,28,18,toksyczna,toksyczna
Cissus rhombifolia,Hanging,Bright light,Diffused,Keep moist between watering. Can dry between watering,Hanging; Ground cover,28,10,lekko toksyczna (wymioty u kotów),nietoksyczna lub lekkie podrażnienia
Cereus peruvianus Monstrosus,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Potted plant; Primary,35,5,nietoksyczna,nietoksyczna (kolce mogą powodować urazy mechaniczne)
Chamaedorea erumpens,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,10,nietoksyczna,nietoksyczna
Calathea stromata,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,25,10,nietoksyczna,nietoksyczna
Codiaeum,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Secondary; Tertiary,28,10,"toksyczna (wymioty, biegunka, podrażnienia skóry)","toksyczna (sok drażniący, może powodować wysypkę)"
Calathea rufibarba,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,25,10,nietoksyczna,nietoksyczna
Alocasias X Amazonica var,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,28,15,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie jamy ustnej, gardła)"
Crassula argentea,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,"toksyczna (apatia, wymioty u kotów i psów)",może powodować lekkie zatrucia przy spożyciu
Alocasias X Amazonica,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Potted plant; Primary,28,15,toksyczna,toksyczna
Anthurium schlechtendalii,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Colors / Forms; Primary,28,18,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie ust, gardła, obrzęk)"
Chamaedorea metallica,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,10,nietoksyczna,nietoksyczna
Aspidistra elatior Minor,Foliage plant,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Ground cover; Potted plant,28,8,nietoksyczna,nietoksyczna
Calathea ornata Rosea lineata,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,25,10,nietoksyczna,nietoksyczna
Asplenium nidus,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,15,nietoksyczna,nietoksyczna
Chlorophytum comosum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,28,5,nietoksyczna (u kotów może wywołać łagodne wymioty przy zjedzeniu dużej ilości),nietoksyczna
Didymochlaena truncatula,Fern,6 or more hours of direct sunlight per day.,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Tertiary,30,5,nietoksyczna,nietoksyczna
Dieffenbachia,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,Table top; Potted plant,28,12,"bardzo toksyczna (ślinotok, obrzęk języka, trudności w połykaniu)","bardzo toksyczna (oparzenia jamy ustnej, gardła, możliwa utrata głosu)"
Dracaena marginata,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,28,10,"toksyczna (wymioty, ślinotok, osłabienie)",nietoksyczna (u ludzi objawy bardzo rzadkie)
Dracaena fragrans Massangeana,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Primary,30,10,"toksyczna (wymioty, utrata apetytu u psów i kotów)",nietoksyczna lub bardzo łagodna toksyczność
Dracaena deremensis,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,30,10,toksyczna,nietoksyczna
Cryptanthus Rose Eliane,Bromeliad,Bright light,Direct sunlight,Can be dry between watering. Water when soil is half dry.,Table top; Primary,28,10,nietoksyczna,nietoksyczna
Dracaena reflexa,Dracaena,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,"toksyczna (wymioty, rozszerzone źrenice u kotów)",nietoksyczna
Dieffenbachia maculata,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,Table top; Potted plant,28,12,bardzo toksyczna,bardzo toksyczna
Cycas revoluta,Palm,"Prefers bright, indirect sunlight.",/,Water when soil is half dry. Can be dry between watering.,Potted plant; Primary,30,8,"silnie toksyczna (śmiertelna dla psów i kotów, uszkodzenie wątroby)","toksyczna (nudności, wymioty, uszkodzenia wątroby)"
Ctenanthe lubbersiana,Foliage plant,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,25,12,nietoksyczna,nietoksyczna
