latin,family,category,origin,climate,ideallight,toleratedlight,watering,insects,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit,latin_norm,toxicity_animals,toxicity_humans
Agave striata,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,Potted plant; Primary; Secondary,35,95.0,12,53.6,Agave striata,toksyczna,toksyczna
Alocasia nebula Imperialis,Araceae,Other,Cultivar,Tropical humid,Bright light,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Colors / Forms; Table top; Tertiary,28,82.4,15,59.0,Alocasia nebula Imperialis,"toksyczna (ciężkie objawy, szczawiany wapnia)","toksyczna (oparzenia jamy ustnej, gardła)"
Allamanda nerifolia,Apocynaceae,Flower,Brazil,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale; Spider mite,Flower,30,20.0,10,50.0,Allamanda nerifolia,"toksyczna (biegunka, wymioty)","toksyczna (drażniąca, przeczyszczająca)"
Aspidistra elatior,Liliaceae,Foliage plant,China,Subtropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Scale,Ground cover; Potted plant,28,82.4,8,46.4,Aspidistra elatior,nietoksyczna,nietoksyczna
Anthurium superbum,Araceae,Anthurium,Ecuador,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug,Table top; Colors / Forms; Secondary,28,82.4,18,64.4,Anthurium superbum,"toksyczna (podrażnienia jamy ustnej, wymioty)","toksyczna (szczawiany wapnia – pieczenie ust, gardła)"
Caryota mitis,Palmae,Palm, India,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,Potted plant; Primary,25,77.0,10,50.0,Caryota mitis,"toksyczna (podrażnienia, wymioty)","toksyczna (szczawiany, podrażnienia ust)"
Codiaeum petra,Euphorbiaceae,Foliage plant,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Potted plant; Secondary,28,82.4,10,50.0,Codiaeum petra,"toksyczna (kontakt ze skórą – wysypka, wymioty)","toksyczna (sok drażniący, biegunka, wymioty)"
Cereus peruvianus,Cactaceae,Cactus And Succulent,Brazil,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Scale; Mealy bug,Potted plant; Primary,35,95.0,5,41.0,Cereus peruvianus,nietoksyczna,nietoksyczna (ostre kolce mechanicznie niebezpieczne)
Blechnum gibbum,Polypodiaceae,Fern,New Calidonia,Tropical humid,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,Potted plant; Secondary,30,20.0,10,50.0,Blechnum gibbum,nietoksyczna,nietoksyczna
Chamaedorea elegans,Arecaceae,Palm,Mexico,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,Potted plant; Tertiary,28,82.4,5,41.0,Chamaedorea elegans,nietoksyczna,nietoksyczna
Calathea veitchiana,Marantaceae,Foliage plant,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,Table top; Ground cover,25,77.0,10,50.0,Calathea veitchiana,nietoksyczna,nietoksyczna
Calathea pictura Argentea,Marantaceae,Foliage plant,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,Table top; Ground cover; Tertiary,25,77.0,10,50.0,Calathea pictura Argentea,nietoksyczna,nietoksyczna
Bougainvillea,Nyctaginaceae,Flower,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Aphid; Mealy bug,Potted plant; Colors / Forms; Primary,32,89.6,10,50.0,Bougainvillea,nietoksyczna (kolce mogą ranić),nietoksyczna (kolce mogą ranić)
 Chamaedorea seifrizii,Arecaceae,Palm,Mexico,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Potted plant; Secondary,30,20.0,10,50.0,Chamaedorea seifrizii,nietoksyczna,nietoksyczna
 Alocasia X amazonica,Araceae,Other,Hybrid,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Colors / Forms; Table top; Tertiary,28,82.4,15,59.0,Alocasia X amazonica,toksyczna (szczawiany wapnia),"toksyczna (pieczenie ust, gardła)"
Anthurium X,Araceae,Anthurium,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Aphid,Flower; Table top; Tertiary,22,71.6,18,64.4,Anthurium X,toksyczna,toksyczna
Anthurium hookeri,Araceae,Anthurium,Guyana,Tropical humid,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Snail; Aphid,Potted plant; Secondary,28,82.4,18,64.4,Anthurium hookeri,toksyczna,toksyczna
Cissus rhombifolia,Vitaceae,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug,Hanging; Ground cover,28,82.4,10,50.0,Cissus rhombifolia,lekko toksyczna (wymioty u kotów),nietoksyczna lub lekkie podrażnienia
Cereus peruvianus Monstrosus,Cactaceae,Cactus And Succulent,Brazil,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Scale; Mealy bug,Potted plant; Primary,35,95.0,5,41.0,Cereus peruvianus Monstrosus,nietoksyczna,nietoksyczna (kolce mogą powodować urazy mechaniczne)
Chamaedorea erumpens,Arecaceae,Palm,Honduras,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Potted plant; Secondary,28,82.4,10,50.0,Chamaedorea erumpens,nietoksyczna,nietoksyczna
Calathea stromata,Marantaceae,Foliage plant,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,Table top; Ground cover,25,77.0,10,50.0,Calathea stromata,nietoksyczna,nietoksyczna
Codiaeum,Euphorbiaceae,Foliage plant,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Secondary; Tertiary,28,82.4,10,50.0,Codiaeum,"toksyczna (wymioty, biegunka, podrażnienia skóry)","toksyczna (sok drażniący, może powodować wysypkę)"
Calathea rufibarba,Marantaceae,Foliage plant,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,Table top; Ground cover,25,77.0,10,50.0,Calathea rufibarba,nietoksyczna,nietoksyczna
Alocasias X Amazonica var,Araceae,Other,Hybrid,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Colors / Forms; Table top; Tertiary,28,82.4,15,59.0,Alocasias X Amazonica var,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie jamy ustnej, gardła)"
Crassula argentea,Crasssulaceae,Cactus And Succulent,South Africa,Subtropical arid,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Potted plant; Primary,35,95.0,12,55.0,Crassula argentea,"toksyczna (apatia, wymioty u kotów i psów)",może powodować lekkie zatrucia przy spożyciu
Alocasias X Amazonica,Araceae,Other,Hybrid,Tropical humid,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Colors / Forms; Potted plant; Primary,28,82.4,15,59.0,Alocasias X Amazonica,toksyczna,toksyczna
Anthurium schlechtendalii,Araceae,Anthurium,Costa rica,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Aphid,Potted plant; Colors / Forms; Primary,28,82.4,18,64.4,Anthurium schlechtendalii,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie ust, gardła, obrzęk)"
Chamaedorea metallica,Arecaceae,Palm,Mexico,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Potted plant; Secondary,30,20.0,10,50.0,Chamaedorea metallica,nietoksyczna,nietoksyczna
Aspidistra elatior Minor,Liliaceae,Foliage plant,Japan,Subtropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Scale,Ground cover; Potted plant,28,82.4,8,46.4,Aspidistra elatior Minor,nietoksyczna,nietoksyczna
Calathea ornata Rosea lineata,Marantaceae,Foliage plant,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,Table top; Ground cover; Tertiary,25,77.0,10,50.0,Calathea ornata Rosea lineata,nietoksyczna,nietoksyczna
Asplenium nidus,Aspleniaceae,Fern,Asia,Tropical humid,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,Potted plant; Primary,28,82.4,15,59.0,Asplenium nidus,nietoksyczna,nietoksyczna
Chlorophytum comosum,Liliaceae,Hanging,Central Africa,Tropical to subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,,Hanging; Ground cover,28,82.4,5,41.0,Chlorophytum comosum,nietoksyczna (u kotów może wywołać łagodne wymioty przy zjedzeniu dużej ilości),nietoksyczna
Didymochlaena truncatula,Dryopteridaceae,Fern,South America,Tropical humid,6 or more hours of direct sunlight per day.,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,Potted plant; Tertiary,30,20.0,5,41.0,Didymochlaena truncatula,nietoksyczna,nietoksyczna
Dieffenbachia,Araceae,Dieffenbachia,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Table top; Potted plant,28,82.4,12,53.6,Dieffenbachia,"bardzo toksyczna (ślinotok, obrzęk języka, trudności w połykaniu)","bardzo toksyczna (oparzenia jamy ustnej, gardła, możliwa utrata głosu)"
Dracaena marginata,Liliaceae,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale; Spider mite,Potted plant; Secondary,28,82.4,10,50.0,Dracaena marginata,"toksyczna (wymioty, ślinotok, osłabienie)",nietoksyczna (u ludzi objawy bardzo rzadkie)
Dracaena fragrans Massangeana,Liliaceae,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,Potted plant; Primary,30,20.0,10,50.0,Dracaena fragrans Massangeana,"toksyczna (wymioty, utrata apetytu u psów i kotów)",nietoksyczna lub bardzo łagodna toksyczność
Dracaena deremensis,Liliaceae,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,Potted plant; Secondary,30,20.0,10,50.0,Dracaena deremensis,toksyczna,nietoksyczna
Cryptanthus Rose Eliane,Bromeliaceae,Bromeliad,Cultivar,Tropical,Bright light,Direct sunlight,Can be dry between watering. Water when soil is half dry.,,Table top; Primary,28,82.4,10,50.0,Cryptanthus Rose Eliane,nietoksyczna,nietoksyczna
Dracaena reflexa,Liliaceae,Dracaena, India,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,Potted plant; Primary,30,20.0,12,53.6,Dracaena reflexa,"toksyczna (wymioty, rozszerzone źrenice u kotów)",nietoksyczna
Dieffenbachia maculata,Araceae,Dieffenbachia,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Table top; Potted plant,28,82.4,12,53.6,Dieffenbachia maculata,bardzo toksyczna,bardzo toksyczna
Cycas revoluta,Cycadaceae,Palm,Japan,Subtropical,"Prefers bright, indirect sunlight.",/,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,Potted plant; Primary,30,20.0,8,46.4,Cycas revoluta,"silnie toksyczna (śmiertelna dla psów i kotów, uszkodzenie wątroby)","toksyczna (nudności, wymioty, uszkodzenia wątroby)"
Ctenanthe lubbersiana,Marantaceae,Foliage plant,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,Potted plant; Secondary,25,77.0,12,53.6,Ctenanthe lubbersiana,nietoksyczna,nietoksyczna
Cyrtomium falcatum,Dryopteridaceae,Fern,Asia,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Scale; Mealy bug,Potted plant; Ground cover,30,20.0,5,41.0,Cyrtomium falcatum,nietoksyczna,nietoksyczna
Davallia trichomannoides,Davalliaceae,Fern,Canaries,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Scale,Hanging; Potted plant,25,77.0,10,50.0,Davallia trichomannoides,nietoksyczna,nietoksyczna
Dieffenbachia amoena,Araceae,Dieffenbachia,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Potted plant; Secondary,28,82.4,12,53.6,Dieffenbachia amoena,bardzo toksyczna,bardzo toksyczna
Ficus elastica,Moraceae,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Mealy bug; Scale,Table top; Tertiary,30,20.0,10,50.0,Ficus elastica,"toksyczna (podrażnienia żołądkowe, wymioty)","może powodować podrażnienia skóry, żołądka"
Dypsis lutescens,Arecaceae,Palm,Madagascar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,Potted plant; Secondary,28,82.4,10,50.0,Dypsis lutescens,nietoksyczna,nietoksyczna
Epiphyllum,Cactaceae,Cactus And Succulent,Hybrid,Tropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Mealy bug,Hanging; Secondary,32,89.6,5,41.0,Epiphyllum,nietoksyczna,nietoksyczna
Echinocactus grusonii,Cactaceae,Cactus And Succulent,Central Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,/,Water only when dry. Must be dry between watering,Mealy bug; Scale; Spider mite,Potted plant; Primary,40,104.0,5,41.0,Echinocactus grusonii,nietoksyczna (ale kolce stanowią zagrożenie mechaniczne),nietoksyczna (oparzenia mechaniczne)
Euphorbia milii,Euphorbiaceae,Cactus And Succulent,Madagascar,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug; White fly,Table top; Tertiary,35,95.0,12,53.6,Euphorbia milii,"toksyczna (sok mleczny – wymioty, biegunka, podrażnienia)",toksyczna (podrażnienia skóry i oczu)
Epipremnum aureum,Araceae,Hanging,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Hanging; Tertiary,30,20.0,12,53.6,Epipremnum aureum,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie jamy ustnej, podrażnienia gardła)"
Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,Table top; Tertiary,30,20.0,10,50.0,Guzmania,nietoksyczna,nietoksyczna
Ficus maclellandii,Moraceae,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,Potted plant; Primary,30,20.0,10,50.0,Ficus maclellandii,toksyczna,może powodować podrażnienia
Ficus benjamina,Moraceae,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,Potted plant; Secondary,30,20.0,10,50.0,Ficus benjamina,"toksyczna (wymioty, biegunka, podrażnienia skóry u zwierząt)","toksyczna (podrażnienia skóry, reakcje alergiczne)"
Fatsia japonica,Araliaceae,Aralia,Japan,Subtropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,Table top; Potted plant,28,82.4,8,46.4,Fatsia japonica,nietoksyczna,nietoksyczna
Euphorbia ammack,Euphorbiaceae,Cactus And Succulent,Africa,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Must be dry between watering. Water only when dry.,Mealy bug; White fly,Potted plant; Primary,35,95.0,12,53.6,Euphorbia ammack,"toksyczna (sok mleczny drażniący, wymioty)",toksyczna (silne podrażnienia skóry i oczu)
Ficus pumila,Moraceae,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,Hanging; Ground cover,30,20.0,10,50.0,Ficus pumila,toksyczna,może powodować podrażnienia skóry
Hedera canariensis,Araliaceae,Hanging,Canaries,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,Hanging; Ground cover,30,20.0,5,41.0,Hedera canariensis,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, nudności)"
Ficus lyrata,Moraceae,Ficus,Ouest Africa,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,Potted plant; Secondary,30,20.0,10,50.0,Ficus lyrata,"toksyczna (wymioty, ślinotok)","toksyczna (podrażnienia skóry, błon śluzowych)"
Euphorbia ingens,Euphorbiaceae,Cactus And Succulent,South Africa,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Potted plant; Primary,35,95.0,12,53.6,Euphorbia ingens,"toksyczna (silne zatrucia, sok mleczny)","toksyczna (uszkodzenia skóry, oczu)"
Ficus maclellandii Alii,Moraceae,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,Potted plant; Primary,30,20.0,10,50.0,Ficus maclellandii Alii,toksyczna,może powodować podrażnienia
Euphorbia drupifera,Euphorbiaceae,Cactus And Succulent,Guinea,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Potted plant; Primary,35,95.0,12,53.6,Euphorbia drupifera,toksyczna,toksyczna
Hedera helix,Araliaceae,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Hanging; Ground cover,30,20.0,5,41.0,Hedera helix,"toksyczna (ślinotok, biegunka, apatia)","toksyczna (nudności, bóle brzucha, kontaktowe podrażnienia)"
Maranta leuconeura erythroneura,Marantaceae,Hanging,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Hanging; Table top,28,82.4,12,53.6,Maranta leuconeura erythroneura,nietoksyczna,nietoksyczna
Monstera deliciosa,Araceae,Philodendron,Central America,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug,Potted plant; Secondary,32,89.6,12,53.6,Monstera deliciosa,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie ust, gardła)"
Mandevilla X,Apocynaceae,Flower,Hybrid,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Aphid,Flower; Potted plant,30,20.0,10,50.0,Mandevilla X,"toksyczna (biegunka, wymioty)","toksyczna (podrażnienia skóry, zatrucia po spożyciu)"
Peperomia obtusifolia,Piperaceae,Other,Venezuela,Tropical,Bright light,/,Keep moist between watering. Water when soil is half dry.,Mealy bug,Table top; Ground cover; Tertiary,32,89.6,10,50.0,Peperomia obtusifolia,nietoksyczna,nietoksyczna
Ophiopogon japonicus,Liliaceae,Grass,Japan,Subtropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Scale,Ground cover; Tertiary,28,82.4,5,41.0,Ophiopogon japonicus,nietoksyczna,nietoksyczna
Hedychium coronarium,Zingiberaceae,Flower,China,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,,Flower; Secondary,30,20.0,10,50.0,Hedychium coronarium,nietoksyczna,nietoksyczna
Hedera helix variegata,Araliaceae,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Hanging; Ground cover,30,20.0,5,41.0,Hedera helix variegata,toksyczna,toksyczna
Pellaea falcata,Sinopteridaceae,Fern,Australia & New Guinea,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,Table top; Ground cover; Tertiary,25,77.0,12,53.6,Pellaea falcata,nietoksyczna,nietoksyczna
Hoya carnosa Exotica,Asclepiadaceae,Hanging,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Thrips,Hanging; Table top,28,82.4,12,53.6,Hoya carnosa Exotica,nietoksyczna,nietoksyczna
Nerium oleander,Apocynaceae,Flower,Mediterranean,Subtropical,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Scale; Aphid; Mealy bug,Potted plant; Secondary,30,20.0,5,41.0,Nerium oleander,silnie toksyczna (może być śmiertelna – glikozydy nasercowe),"silnie toksyczna (zaburzenia rytmu serca, zatrucia, śmiertelna dawka)"
Pachypodium geayi,Apocynaceae,Cactus And Succulent,Madagascar,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Potted plant; Primary,35,95.0,8,46.4,Pachypodium geayi,"toksyczna (podrażnienia, możliwe zatrucia)","toksyczna (drażniąca, sok mleczny)"
Licuala spinosa,Arecaceae,Palm,Malaysia,Tropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Potted plant; Secondary,30,20.0,15,59.0,Licuala spinosa,nietoksyczna,nietoksyczna
Philodendron,Araceae,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Table top; Secondary,28,82.4,18,64.4,Philodendron,toksyczna (szczawiany wapnia),toksyczna
Neoregelia Flandria,Bromeliaceae,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,Table top; Colors / Forms,30,20.0,12,53.6,Neoregelia Flandria,nietoksyczna,nietoksyczna
Liriope muscari Variegata,Liliaceae,Foliage plant,Japan,Subtropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Scale,Ground cover; Table top,30,20.0,8,46.4,Liriope muscari Variegata,nietoksyczna,nietoksyczna
Philodendron micans,Araceae,Philodendron,Dominica,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Hanging; Secondary,28,82.4,18,64.4,Philodendron micans,toksyczna,toksyczna
Maranta leuconeura kerchoveana,Marantaceae,Hanging,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Hanging; Table top,28,82.4,12,53.6,Maranta leuconeura kerchoveana,nietoksyczna,nietoksyczna
Neoregelia Victoria Pink,Bromeliaceae,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,Table top; Colors / Forms,30,20.0,12,53.6,Neoregelia Victoria Pink,nietoksyczna,nietoksyczna
Nolina recurvata,Agavaceae,Foliage plant,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,Primary; Potted plant,32,89.6,12,53.6,Nolina recurvata,toksyczna (łagodne zatrucia u kotów przy spożyciu),nietoksyczna
Phalaenopsis X,Orchidaceae,Flower,Hybrid,Tropical humid,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Thrips; Aphid,Table top; Secondary,28,82.4,12,53.6,Phalaenopsis X,nietoksyczna,nietoksyczna
