latin,family,category,origin,climate,ideallight,toleratedlight,watering,insects,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit,latin_norm,toxicity_animals,toxicity_humans
Aeschynanthus lobianus,Gesneriaceae,Hanging,Java,Tropical,Bright light,Direct sunlight,Keep moist between watering. Can be a bit dry between watering,Mealy bug; Aphid; Thrips,Hanging; Flower; Tertiary,32,89.6,14,57.2,Aeschynanthus lobianus,nietoksyczna,nietoksyczna
Adiantum raddianum,Polypodiaceae,Fern,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Aphid; Snail,Potted plant; Ground cover; Table top,30,86.0,12,53.6,Adiantum raddianum,nietoksyczna,nietoksyczna
Aechmea fatsiata,Bromeliaceae,Bromeliad,Brazil,Tropical humid,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,Flower; Table top; Tertiary,30,20.0,12,53.6,Aechmea fatsiata,nietoksyczna,może powodować lekkie podrażnienia
Agave angustilolia Marginata,Amaryllidaceae,Cactus And Succulent, India,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,Potted plant; Primary; Secondary,35,95.0,5,41.0,Agave angustilolia Marginata,"toksyczna (podrażnienia, wymioty)","toksyczna (sok drażni skórę, oczy)"
Aechmea ramosa,Bromeliaceae,Bromeliad,Brazil,Subtropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,Flower; Table top; Primary,30,20.0,12,53.6,Aechmea ramosa,nietoksyczna,może powodować lekkie podrażnienia
Aechmea fasciata,Bromeliaceae,Bromeliad,Hybrid,Tropical humid,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,Flower; Table top; Tertiary,30,20.0,12,53.6,Aechmea fasciata,nietoksyczna,może powodować lekkie podrażnienia
Agave filifera,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,Potted plant; Primary; Secondary,35,95.0,5,41.0,Agave filifera,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, układu pokarmowego)"
Adiantum hispidulum,Polypodiaceae,Fern,Australia & New Guinea,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Aphid; Snail,Table top; Ground cover; Tertiary,30,20.0,12,53.6,Adiantum hispidulum,nietoksyczna,nietoksyczna
Agave attenuata,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,Potted plant; Primary; Secondary,35,95.0,5,41.0,Agave attenuata,toksyczna (problemy żołądkowe),"toksyczna (sok drażniący, oparzenia)"
Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
Agave verschaffeltii,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,Potted plant; Primary; Secondary,35,95.0,12,53.6,Agave verschaffeltii,toksyczna,toksyczna
